scenario_id,label_detection,label_pipe,group,P2_mae,P2_rmse,P2_r2,P3_mae,P3_rmse,P3_r2,P5_mae,P5_rmse,P5_r2,P6_mae,P6_rmse,P6_r2,Q2a_mae,Q2a_rmse,Q2a_r2,Q4a_mae,Q4a_rmse,Q4a_r2,Q5a_mae,Q5a_rmse,Q5a_r2
scenario_00043,0,-1,no-leak,3e-06,4e-06,1.0,0.003108,0.004525,0.998084,0.0586,0.102012,0.862498,0.133635,0.214917,0.714326,3e-06,4e-06,0.996858,1.2e-05,2.1e-05,-0.10183,2.8e-05,4.4e-05,0.284332
scenario_00044,0,-1,no-leak,1.3e-05,2.1e-05,1.0,0.023508,0.044779,0.996638,0.063839,0.100816,0.989902,0.091985,0.142112,0.971038,1.7e-05,3.3e-05,0.995011,1.8e-05,2.7e-05,0.462756,1.5e-05,2.3e-05,0.0
scenario_00045,0,-1,no-leak,2e-06,4e-06,1.0,0.001811,0.003669,0.992913,0.012099,0.017635,0.92348,0.019177,0.028697,0.801417,2e-06,3e-06,0.738817,2e-06,3e-06,-0.009879,4e-06,6e-06,-0.078219
scenario_00047,0,-1,no-leak,2e-06,4e-06,1.0,0.002825,0.005537,0.977483,0.068914,0.108675,0.712763,0.046138,0.063232,0.283169,2e-06,5e-06,0.968135,1.5e-05,2.3e-05,0.268703,9e-06,1.3e-05,0.0
scenario_00046,0,-1,no-leak,1e-05,1.2e-05,1.0,0.112123,0.286281,0.839165,0.595646,1.074942,0.356493,0.815853,1.563428,0.81841,7.5e-05,0.000182,0.797041,9.5e-05,0.000156,-123.124405,0.00014,0.000253,0.498135
scenario_00048,0,-1,no-leak,1e-05,1.3e-05,1.0,0.02404,0.041167,0.995471,0.147748,0.174595,0.949561,0.171074,0.221216,0.926803,1.8e-05,3.1e-05,0.993849,3.1e-05,3.6e-05,-0.003382,3.6e-05,4.5e-05,0.21717
scenario_00049,0,-1,no-leak,1e-06,2e-06,1.0,0.002078,0.004083,0.973877,0.011201,0.018183,0.771493,0.014768,0.024152,0.159267,2e-06,4e-06,0.949602,2e-06,4e-06,0.328682,3e-06,5e-06,0.0
scenario_00050,0,-1,no-leak,1e-05,2.1e-05,1.0,0.023472,0.049429,0.991343,0.148406,0.200704,0.872019,0.121012,0.165753,0.907,1.8e-05,3.8e-05,0.985063,2.7e-05,3.8e-05,0.104292,2.1e-05,3e-05,-2.441256
scenario_00053,1,1,pipe-1,0.020454,0.025054,0.626098,0.012695,0.018358,0.989882,0.427894,0.550589,0.61284,0.304814,0.364784,0.168693,1.5e-05,1.6e-05,0.980892,8.4e-05,0.000106,-0.042312,6.2e-05,7.3e-05,-4.633885
scenario_00051,1,1,pipe-1,0.019621,0.024028,-0.139216,0.005513,0.011706,0.990767,0.088977,0.168573,0.524734,0.090013,0.169849,0.557002,2e-05,2.2e-05,0.931005,1.8e-05,3.3e-05,-6288.791504,1.8e-05,3.4e-05,-2.36253
scenario_00052,1,1,pipe-1,0.020794,0.025471,0.746105,0.01201,0.017301,0.995416,0.484243,0.637187,0.550993,0.294263,0.347693,0.347349,1.2e-05,1.4e-05,0.992858,9.4e-05,0.000121,-0.191864,5.9e-05,7e-05,-13.748052
scenario_00054,1,1,pipe-1,0.021704,0.026607,0.934032,0.024211,0.040828,0.992443,0.431113,0.532137,0.711982,0.301459,0.347657,0.793456,1.9e-05,2.4e-05,0.99308,8.4e-05,0.000104,0.150629,6.2e-05,7.1e-05,-0.600228
scenario_00055,1,1,pipe-1,0.019578,0.023979,-6.297922,0.001744,0.00333,0.972741,0.011597,0.017731,0.776351,0.014863,0.023631,-0.056286,1.6e-05,2e-05,-0.985162,3e-06,4e-06,0.237539,3e-06,5e-06,0.0
scenario_00056,1,1,pipe-1,0.020379,0.024955,0.992632,0.101365,0.181852,0.984367,0.557212,0.916755,0.826621,0.791775,1.452866,0.874763,8e-05,0.000127,0.975378,8.8e-05,0.000146,-40.340378,0.000135,0.000235,0.493538
scenario_00057,1,1,pipe-1,0.019587,0.023989,-14.884893,0.001673,0.003275,0.760623,0.014023,0.015739,-0.535097,0.016151,0.02276,-7.263084,1.6e-05,2e-05,-202.702728,3e-06,3e-06,-4.566543,3e-06,4e-06,0.0
scenario_00058,1,1,pipe-1,0.02051,0.025123,0.71539,0.00211,0.003597,0.999415,0.141088,0.177905,0.793726,0.219953,0.25681,0.319898,1.8e-05,2.1e-05,0.944344,3e-05,3.7e-05,0.015978,4.6e-05,5.4e-05,-3.898199
scenario_00059,1,1,pipe-1,0.019587,0.023989,-8.380433,0.001727,0.003246,0.987034,0.021082,0.036954,0.42093,0.025893,0.048034,0.837587,1.6e-05,1.9e-05,-0.092623,4e-06,8e-06,0.0,5e-06,1e-05,0.562633
scenario_00060,1,1,pipe-1,0.020484,0.025139,0.953452,0.019301,0.041008,0.992232,0.198677,0.247819,0.883399,0.21705,0.244125,0.773193,2.3e-05,3.2e-05,0.987012,3.9e-05,5e-05,0.001435,4.2e-05,4.9e-05,-1.738834
scenario_00061,1,1,pipe-1,0.020132,0.024717,-9.554048,0.02059,0.064625,-28.361162,0.059397,0.153116,-88.403397,0.057589,0.149512,-15.384583,2.8e-05,5.2e-05,-159.990692,6e-06,1.1e-05,-523.067688,6e-06,1.1e-05,-5.021235
scenario_00062,1,1,pipe-1,0.021568,0.026464,0.961764,0.027046,0.039326,0.996055,0.858336,1.493204,0.693257,0.555285,0.772392,0.594215,1.3e-05,1.8e-05,0.997804,0.000142,0.000233,0.3702,0.000106,0.000146,-3.5474
