scenario_id,group,true_pipe,sensor,mae,rmse,r2
scenario_00017,pipe-1,1,P3,0.011654,0.023565,0.9982
scenario_00017,pipe-1,1,P5,1.225185,2.030027,0.6419
scenario_00017,pipe-1,1,P6,0.524402,0.801949,0.4628
scenario_00017,pipe-1,1,Q2a,1.4e-05,1.7e-05,0.9978
scenario_00017,pipe-1,1,Q4a,0.00019,0.000307,0.3043
scenario_00017,pipe-1,1,Q5a,0.000102,0.000155,-35.5196
scenario_00017,pipe-1,1,OVERALL,0.253722,,
scenario_00018,pipe-1,1,P2,0.013795,0.015127,0.8589
scenario_00018,pipe-1,1,P3,0.003256,0.006154,0.999
scenario_00018,pipe-1,1,P5,0.08191,0.133908,0.9003
scenario_00018,pipe-1,1,P6,0.064113,0.088557,0.9521
scenario_00018,pipe-1,1,Q2a,1.1e-05,1.2e-05,0.9902
scenario_00018,pipe-1,1,Q4a,1.7e-05,2.8e-05,0.5271
scenario_00018,pipe-1,1,Q5a,1.3e-05,1.9e-05,0.5857
scenario_00018,pipe-1,1,OVERALL,0.023302,,
scenario_00019,pipe-1,1,P2,0.015274,0.016793,0.9922
scenario_00019,pipe-1,1,P3,0.024449,0.042141,0.9948
scenario_00019,pipe-1,1,P5,2.334163,2.791922,0.2529
scenario_00019,pipe-1,1,P6,0.952073,1.112086,0.0086
scenario_00019,pipe-1,1,Q2a,2e-05,2.8e-05,0.9929
scenario_00019,pipe-1,1,Q4a,0.000361,0.000424,-0.5936
scenario_00019,pipe-1,1,Q5a,0.000183,0.000215,0.0
scenario_00019,pipe-1,1,OVERALL,0.475218,,
scenario_00020,pipe-1,1,P2,0.014211,0.015585,0.9686
scenario_00020,pipe-1,1,P3,0.006158,0.011473,0.9993
scenario_00020,pipe-1,1,P5,0.147702,0.343767,0.8198
scenario_00020,pipe-1,1,P6,0.093779,0.179102,0.8442
scenario_00020,pipe-1,1,Q2a,9e-06,1.1e-05,0.9984
scenario_00020,pipe-1,1,Q4a,2.9e-05,6.4e-05,0.5041
scenario_00020,pipe-1,1,Q5a,1.9e-05,3.7e-05,-4.416
scenario_00020,pipe-1,1,OVERALL,0.037415,,
scenario_00021,pipe-1,1,P2,0.014175,0.015536,0.9294
scenario_00021,pipe-1,1,P3,0.01664,0.050489,0.9665
scenario_00021,pipe-1,1,P5,0.196203,0.376821,0.4955
scenario_00021,pipe-1,1,P6,0.21395,0.384026,0.4763
scenario_00021,pipe-1,1,Q2a,1.9e-05,3.7e-05,0.9563
scenario_00021,pipe-1,1,Q4a,3.8e-05,7e-05,-259.5672
scenario_00021,pipe-1,1,Q5a,4.1e-05,7.1e-05,0.0
scenario_00021,pipe-1,1,OVERALL,0.063009,,
scenario_00022,pipe-1,1,P2,0.041513,0.045476,-81.9639
scenario_00022,pipe-1,1,P3,0.001253,0.002835,0.9803
scenario_00022,pipe-1,1,P5,0.015477,0.025747,0.584
scenario_00022,pipe-1,1,P6,0.019313,0.041073,0.791
scenario_00022,pipe-1,1,Q2a,3.6e-05,3.9e-05,-7.2688
scenario_00022,pipe-1,1,Q4a,3e-06,5e-06,-2.4684
scenario_00022,pipe-1,1,Q5a,4e-06,9e-06,0.4467
scenario_00022,pipe-1,1,OVERALL,0.011086,,
scenario_00023,pipe-1,1,P2,0.042687,0.046772,-0.5854
scenario_00023,pipe-1,1,P3,0.006764,0.014343,0.9928
scenario_00023,pipe-1,1,P5,0.259635,0.420586,0.7209
scenario_00023,pipe-1,1,P6,0.16088,0.23009,0.4893
scenario_00023,pipe-1,1,Q2a,3.2e-05,3.6e-05,0.898
scenario_00023,pipe-1,1,Q4a,5.2e-05,8.1e-05,0.3093
scenario_00023,pipe-1,1,Q5a,3.3e-05,4.7e-05,-19.9706
scenario_00023,pipe-1,1,OVERALL,0.067155,,
scenario_00024,pipe-1,1,P2,0.042979,0.047115,0.5806
scenario_00024,pipe-1,1,P3,0.01473,0.034211,0.9901
scenario_00024,pipe-1,1,P5,0.155849,0.366733,0.639
scenario_00024,pipe-1,1,P6,0.303474,0.814647,0.7679
scenario_00024,pipe-1,1,Q2a,3.2e-05,3.6e-05,0.9729
scenario_00024,pipe-1,1,Q4a,2.9e-05,6.8e-05,-46.7102
scenario_00024,pipe-1,1,Q5a,5.3e-05,0.000134,0.481
scenario_00024,pipe-1,1,OVERALL,0.073878,,
scenario_00025,pipe-1,1,P2,0.043163,0.047343,0.7424
scenario_00025,pipe-1,1,P3,0.012446,0.021835,0.9969
scenario_00025,pipe-1,1,P5,0.364581,0.571182,0.6418
scenario_00025,pipe-1,1,P6,0.342768,0.533287,0.5087
scenario_00025,pipe-1,1,Q2a,3e-05,3.3e-05,0.982
scenario_00025,pipe-1,1,Q4a,7e-05,0.00011,-0.4966
scenario_00025,pipe-1,1,Q5a,6.8e-05,0.000104,0.0
scenario_00025,pipe-1,1,OVERALL,0.109018,,
scenario_00026,pipe-1,1,P2,0.041657,0.045631,0.5275
scenario_00026,pipe-1,1,P3,0.001966,0.004849,0.9976
scenario_00026,pipe-1,1,P5,0.042215,0.084191,0.6832
scenario_00026,pipe-1,1,P6,0.040178,0.082931,0.6825
scenario_00026,pipe-1,1,Q2a,3.7e-05,4e-05,0.1384
scenario_00026,pipe-1,1,Q4a,9e-06,1.8e-05,-6.4151
scenario_00026,pipe-1,1,Q5a,8e-06,1.8e-05,0.0
scenario_00026,pipe-1,1,OVERALL,0.01801,,
scenario_00027,pipe-1,1,P2,0.04272,0.046803,-0.8824
scenario_00027,pipe-1,1,P3,0.002635,0.004301,0.9977
scenario_00027,pipe-1,1,P5,0.108863,0.15654,0.6885
scenario_00027,pipe-1,1,P6,0.075335,0.093078,0.6151
scenario_00027,pipe-1,1,Q2a,3.5e-05,3.8e-05,0.6057
scenario_00027,pipe-1,1,Q4a,2.3e-05,3.3e-05,0.2594
scenario_00027,pipe-1,1,Q5a,1.6e-05,2e-05,-0.6281
scenario_00027,pipe-1,1,OVERALL,0.032804,,
scenario_00028,pipe-1,1,P2,0.041721,0.045704,-10.259
scenario_00028,pipe-1,1,P3,0.001086,0.002304,0.9982
scenario_00028,pipe-1,1,P5,0.022044,0.041575,0.6826
scenario_00028,pipe-1,1,P6,0.022294,0.042175,0.8946
scenario_00028,pipe-1,1,Q2a,3.6e-05,3.9e-05,-0.143
scenario_00028,pipe-1,1,Q4a,5e-06,9e-06,0.0
scenario_00028,pipe-1,1,Q5a,5e-06,9e-06,0.6432
scenario_00028,pipe-1,1,OVERALL,0.012456,,
scenario_00029,pipe-1,1,P2,0.041944,0.045948,-4.2077
scenario_00029,pipe-1,1,P3,0.002149,0.003926,0.9973
scenario_00029,pipe-1,1,P5,0.084972,0.128897,0.7544
scenario_00029,pipe-1,1,P6,0.071632,0.093088,0.3808
scenario_00029,pipe-1,1,Q2a,3.5e-05,3.9e-05,0.3837
scenario_00029,pipe-1,1,Q4a,1.8e-05,2.7e-05,0.4319
scenario_00029,pipe-1,1,Q5a,1.5e-05,2e-05,-19.0666
scenario_00029,pipe-1,1,OVERALL,0.028681,,
scenario_00030,pipe-1,1,P2,0.043517,0.047723,0.7328
scenario_00030,pipe-1,1,P3,0.017654,0.032143,0.9949
scenario_00030,pipe-1,1,P5,0.163069,0.390107,0.6722
scenario_00030,pipe-1,1,P6,0.304889,0.86042,0.768
scenario_00030,pipe-1,1,Q2a,2.7e-05,3.2e-05,0.9874
scenario_00030,pipe-1,1,Q4a,3e-05,7.3e-05,-148.5172
scenario_00030,pipe-1,1,Q5a,5.2e-05,0.000139,0.5017
scenario_00030,pipe-1,1,OVERALL,0.075605,,
scenario_00031,pipe-1,1,P2,0.041648,0.045623,-14.4247
scenario_00031,pipe-1,1,P3,0.001469,0.00294,0.9933
scenario_00031,pipe-1,1,P5,0.035792,0.077585,0.7948
scenario_00031,pipe-1,1,P6,0.025663,0.044304,0.5541
scenario_00031,pipe-1,1,Q2a,3.6e-05,3.9e-05,-1.9169
scenario_00031,pipe-1,1,Q4a,7e-06,1.6e-05,0.4818
scenario_00031,pipe-1,1,Q5a,5e-06,9e-06,0.0
scenario_00031,pipe-1,1,OVERALL,0.014946,,
scenario_00032,pipe-1,1,P2,0.041599,0.045565,0.7815
scenario_00032,pipe-1,1,P3,0.004778,0.012288,0.9959
scenario_00032,pipe-1,1,P5,0.08159,0.147437,0.7797
scenario_00032,pipe-1,1,P6,0.092044,0.160172,0.7241
scenario_00032,pipe-1,1,Q2a,3.8e-05,4e-05,0.7901
scenario_00032,pipe-1,1,Q4a,1.7e-05,2.9e-05,-48.8793
scenario_00032,pipe-1,1,Q5a,1.9e-05,3.2e-05,-7678.3702
scenario_00032,pipe-1,1,OVERALL,0.031441,,
scenario_00033,pipe-1,1,P2,0.043561,0.04777,0.7334
scenario_00033,pipe-1,1,P3,0.007372,0.011894,0.9993
scenario_00033,pipe-1,1,P5,0.185195,0.28215,0.7596
scenario_00033,pipe-1,1,P6,0.09489,0.131234,0.9202
scenario_00033,pipe-1,1,Q2a,3e-05,3.4e-05,0.9851
scenario_00033,pipe-1,1,Q4a,3.7e-05,5.6e-05,0.3286
scenario_00033,pipe-1,1,Q5a,2e-05,2.7e-05,-2.4067
scenario_00033,pipe-1,1,OVERALL,0.047301,,
scenario_00034,pipe-1,1,P2,0.041546,0.045512,-32.3055
scenario_00034,pipe-1,1,P3,0.001323,0.00282,0.9933
scenario_00034,pipe-1,1,P5,0.016247,0.039164,0.6342
scenario_00034,pipe-1,1,P6,0.026325,0.07594,0.8022
scenario_00034,pipe-1,1,Q2a,3.6e-05,3.9e-05,-1.8053
scenario_00034,pipe-1,1,Q4a,3e-06,8e-06,0.0
scenario_00034,pipe-1,1,Q5a,5e-06,1.6e-05,0.5053
scenario_00034,pipe-1,1,OVERALL,0.012212,,
scenario_00035,pipe-1,1,P2,0.042238,0.046272,-3.2244
scenario_00035,pipe-1,1,P3,0.002225,0.003503,0.9984
scenario_00035,pipe-1,1,P5,0.081289,0.096032,0.8394
scenario_00035,pipe-1,1,P6,0.079431,0.106276,0.6908
scenario_00035,pipe-1,1,Q2a,3.5e-05,3.8e-05,0.5995
scenario_00035,pipe-1,1,Q4a,1.7e-05,2e-05,0.4119
scenario_00035,pipe-1,1,Q5a,1.7e-05,2.2e-05,-0.1366
scenario_00035,pipe-1,1,OVERALL,0.029322,,
scenario_00036,pipe-1,1,P2,0.049315,0.061545,0.6404
scenario_00036,pipe-1,1,P3,0.050508,0.186697,0.8527
scenario_00036,pipe-1,1,P5,0.324667,0.647601,0.5266
scenario_00036,pipe-1,1,P6,0.672509,1.46936,0.7147
scenario_00036,pipe-1,1,Q2a,6e-05,0.000139,0.7912
scenario_00036,pipe-1,1,Q4a,5.2e-05,0.000111,-238.8962
scenario_00036,pipe-1,1,Q5a,9.8e-05,0.000215,0.4529
scenario_00036,pipe-1,1,OVERALL,0.156744,,
scenario_00037,pipe-1,1,P2,0.041873,0.045873,-3.4702
scenario_00037,pipe-1,1,P3,0.002166,0.003827,0.9982
scenario_00037,pipe-1,1,P5,0.098888,0.220907,0.7839
scenario_00037,pipe-1,1,P6,0.05686,0.111721,0.5899
